iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"186,836,716.49"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PRA","PROASSURANCE CORP","Equity","0.55","54.70","18,801.00","1,028,414.70","1,028,414.70","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"CNO","CNO FINANCIAL GROUP INC","Equity","0.53","24.59","40,455.00","994,788.45","994,788.45","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.49","64.26","14,298.00","918,789.48","918,789.48","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.45","118.76","7,052.00","837,495.52","837,495.52","Financials","2311711","US29530P1021","NASDAQ"
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.37","61.30","11,298.00","692,567.40","692,567.40","Financials","2499543","BMG0464B1072","NASDAQ"
"MCY","MERCURY GENERAL CORP","Equity","0.37","48.95","14,051.00","687,796.45","687,796.45","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.36","33.00","20,260.00","668,580.00","668,580.00","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.34","41.30","15,447.00","637,961.10","637,961.10","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.32","3.06","194,521.00","595,234.26","595,234.26","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.31","54.16","10,635.00","575,991.60","575,991.60","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.29","13.42","40,076.00","537,819.92","537,819.92","Financials","B1H4YP4","US0323593097","NASDAQ"
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.29","42.40","12,637.00","535,808.80","535,808.80","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.27","77.65","6,397.00","496,727.05","496,727.05","Financials","2958538","US78648T1007","NASDAQ"
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.26","20.02","24,416.00","488,808.32","488,808.32","Financials","BJ35QL7","US6362203035","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.25","60.75","7,542.00","458,176.50","458,176.50","Financials","B0PPHS6","US03071H1005","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.24","126.39","3,533.00","446,535.87","446,535.87","Financials","2028420","US0285911055","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.23","101.25","4,273.00","432,641.25","432,641.25","Financials","2313739","US45665Q1031","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.23","48.60","8,800.00","427,680.00","427,680.00","Financials","2627850","US6389041020","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.21","29.40","13,605.00","399,987.00","399,987.00","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"KNSL","KINSALE CAPITAL GROUP INC","Equity","0.21","47.72","8,314.00","396,744.08","396,744.08","Financials","BD1MGQ3","US49714P1084","NASDAQ"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.20","38.00","9,716.00","369,208.00","369,208.00","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.18","323.90","1,052.00","340,742.80","340,742.80","Financials","BYSPYB3","US6385171029","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.18","69.60","4,717.00","328,303.20","328,303.20","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"TRUP","TRUPANION INC","Equity","0.17","34.92","8,952.00","312,603.84","312,603.84","Financials","BP3YM85","US8982021060","NASDAQ"
"MBI","MBIA INC","Equity","0.16","7.34","40,070.00","294,113.80","294,113.80","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"UFCS","UNITED FIRE GROUP INC","Equity","0.13","43.39","5,390.00","233,872.10","233,872.10","Financials","B4WXG84","US9103401082","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.10","16.20","11,130.00","180,306.00","180,306.00","Financials","B7ZKH46","US0231398845","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.08","1.00","146,740.00","146,739.79","146,739.79","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","0.03","100.00","61,356.00","61,356.45","61,356.45","Cash and/or Derivatives","-","-","-"
 
