iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"180,707,956.36"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PRA","PROASSURANCE CORP","Equity","0.61","56.05","19,601.00","1,098,636.05","1,098,636.05","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"CNO","CNO FINANCIAL GROUP INC","Equity","0.54","23.97","40,455.00","969,706.35","969,706.35","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.49","59.09","14,950.00","883,395.50","883,395.50","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.47","120.80","7,052.00","851,881.60","851,881.60","Financials","2311711","US29530P1021","NASDAQ"
"MCY","MERCURY GENERAL CORP","Equity","0.44","55.97","14,051.00","786,434.47","786,434.47","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.41","62.95","11,890.00","748,475.50","748,475.50","Financials","2499543","BMG0464B1072","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.40","43.80","16,635.00","728,613.00","728,613.00","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.36","47.70","13,498.00","643,854.60","643,854.60","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.34","3.31","187,306.00","619,982.86","619,982.86","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.34","54.13","11,298.00","611,560.74","611,560.74","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.32","29.51","19,692.00","581,110.92","581,110.92","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.29","20.18","25,939.00","523,449.02","523,449.02","Financials","BJ35QL7","US6362203035","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.28","58.00","8,755.00","507,790.00","507,790.00","Financials","2627850","US6389041020","NASDAQ"
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.28","12.56","40,076.00","503,354.56","503,354.56","Financials","B1H4YP4","US0323593097","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.27","64.70","7,542.00","487,967.40","487,967.40","Financials","B0PPHS6","US03071H1005","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.25","121.73","3,783.00","460,504.59","460,504.59","Financials","2028420","US0285911055","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.24","82.20","5,270.00","433,194.00","433,194.00","Financials","2958538","US78648T1007","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.23","1.00","420,658.00","420,658.25","420,658.25","Cash and/or Derivatives","-","US0669224778","-"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.23","42.32","9,933.00","420,364.56","420,364.56","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.23","94.35","4,435.00","418,442.25","418,442.25","Financials","2313739","US45665Q1031","NASDAQ"
"MBI","MBIA INC","Equity","0.21","7.25","52,658.00","381,770.50","381,770.50","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.21","357.58","1,052.00","376,174.16","376,174.16","Financials","BYSPYB3","US6385171029","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.21","23.85","15,589.00","371,797.65","371,797.65","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.20","77.35","4,717.00","364,859.95","364,859.95","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"SNC","STATE NATIONAL COMPANIES INC","Equity","0.17","21.02","14,195.00","298,378.90","298,378.90","Financials","BSHYJF8","US85711T3059","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","46.09","5,390.00","248,425.10","248,425.10","Financials","B4WXG84","US9103401082","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.09","16.28","10,271.00","167,211.88","167,211.88","Financials","B7ZKH46","US0231398845","NASDAQ"
"USD","USD CASH","Cash","-0.03","100.00","-46,763.00","-46,762.66","-46,762.66","Cash and/or Derivatives","-","-","-"
 
