iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Apr 28, 2017"
Total Net Assets,"163,662,669.48"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"MCY","MERCURY GENERAL CORP","Equity","0.39","61.49","10,445.00","642,263.05","642,263.05","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.38","57.22","10,942.00","626,101.24","626,101.24","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.38","123.82","5,029.00","622,690.78","622,690.78","Financials","2311711","US29530P1021","NASDAQ"
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.34","65.95","8,477.00","559,058.15","559,058.15","Financials","2499543","BMG0464B1072","NASDAQ"
"KMPR","KEMPER CORP","Equity","0.32","39.35","13,293.00","523,079.55","523,079.55","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.30","16.05","30,605.00","491,210.25","491,210.25","Financials","B1H4YP4","US0323593097","NASDAQ"
"GNW","GENWORTH FINANCIAL A INC","Equity","0.29","4.04","117,215.00","473,548.60","473,548.60","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.28","38.65","11,746.00","453,982.90","453,982.90","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.27","23.72","18,957.00","449,660.04","449,660.04","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.25","22.74","18,137.00","412,435.38","412,435.38","Financials","BJ35QL7","US6362203035","NASDAQ"
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.23","40.00","9,439.00","377,560.00","377,560.00","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.22","45.26","8,052.00","364,433.52","364,433.52","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"NAVG","NAVIGATORS GROUP INC","Equity","0.20","54.05","6,032.00","326,029.60","326,029.60","Financials","2627850","US6389041020","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.20","99.25","3,272.00","324,746.00","324,746.00","Financials","2313739","US45665Q1031","NASDAQ"
"MBI","MBIA INC","Equity","0.20","8.40","38,632.00","324,508.80","324,508.80","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.19","1.00","305,154.00","305,154.45","305,154.45","Cash and/or Derivatives","-","US0669224778","-"
"AMSF","AMERISAFE INC","Equity","0.18","57.55","5,148.00","296,267.40","296,267.40","Financials","B0PPHS6","US03071H1005","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.18","116.92","2,463.00","287,973.96","287,973.96","Financials","2028420","US0285911055","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.16","26.05","9,944.00","259,041.20","259,041.20","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.15","72.40","3,341.00","241,888.40","241,888.40","Financials","2958538","US78648T1007","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","44.00","5,390.00","237,160.00","237,160.00","Financials","B4WXG84","US9103401082","NASDAQ"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.14","43.56","5,333.00","232,305.48","232,305.48","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.13","306.24","710.00","217,430.40","217,430.40","Financials","BYSPYB3","US6385171029","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.12","19.43","10,271.00","199,565.53","199,565.53","Financials","B7ZKH46","US0231398845","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.11","66.50","2,711.00","180,281.50","180,281.50","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"OB","ONEBEACON INSURANCE GROUP LTD CLAS","Equity","0.08","15.95","7,812.00","124,601.40","124,601.40","Financials","B1GN3G6","BMG677421098","New York Stock Exchange Inc."
"USD","USD CASH","Cash","-0.01","100.00","-18,687.00","-18,686.69","-18,686.69","Cash and/or Derivatives","-","-","-"
 
