iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"174,432,657.41"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CNO","CNO FINANCIAL GROUP INC","Equity","0.52","22.54","40,455.00","911,855.70","911,855.70","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.51","47.80","18,459.00","882,340.20","882,340.20","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.49","60.80","14,038.00","853,510.40","853,510.40","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.46","115.67","6,924.00","800,899.08","800,899.08","Financials","2311711","US29530P1021","NASDAQ"
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.37","58.25","11,093.00","646,167.25","646,167.25","Financials","2499543","BMG0464B1072","NASDAQ"
"MCY","MERCURY GENERAL CORP","Equity","0.36","45.64","13,796.00","629,649.44","629,649.44","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.36","41.15","15,166.00","624,080.90","624,080.90","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.36","30.61","20,260.00","620,158.60","620,158.60","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.32","22.98","23,972.00","550,876.56","550,876.56","Financials","BJ35QL7","US6362203035","NASDAQ"
"CNA","CNA FINANCIAL CORP","Equity","0.31","51.06","10,442.00","533,168.52","533,168.52","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.30","2.72","190,984.00","519,476.48","519,476.48","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
