iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"178,586,120.56"
Shares Outstanding,"2,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"WTM","WHITE MOUNTAINS INSURANCE GROUP LT","Equity","0.60","890.99","1,207.00","1,075,424.93","1,075,424.93","Financials","2339252","BMG9618E1075","New York Stock Exchange Inc."
"CNO","CNO FINANCIAL GROUP INC","Equity","0.57","25.21","40,455.00","1,019,870.55","1,019,870.55","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.48","59.73","14,406.00","860,470.38","860,470.38","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.47","123.89","6,796.00","841,956.44","841,956.44","Financials","2311711","US29530P1021","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.42","46.70","16,031.00","748,647.70","748,647.70","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","0.42","54.88","13,541.00","743,130.08","743,130.08","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.39","61.25","11,458.00","701,802.50","701,802.50","Financials","2499543","BMG0464B1072","NASDAQ"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.36","31.73","20,260.00","642,849.80","642,849.80","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.36","49.00","13,008.00","637,392.00","637,392.00","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.36","3.39","187,447.00","635,445.33","635,445.33","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.33","54.38","10,888.00","592,089.44","592,089.44","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.30","21.13","24,995.00","528,144.35","528,144.35","Financials","BJ35QL7","US6362203035","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.28","82.35","6,165.00","507,687.75","507,687.75","Financials","2958538","US78648T1007","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.28","65.65","7,542.00","495,132.30","495,132.30","Financials","B0PPHS6","US03071H1005","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.26","107.80","4,273.00","460,629.40","460,629.40","Financials","2313739","US45665Q1031","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.26","125.35","3,645.00","456,900.75","456,900.75","Financials","2028420","US0285911055","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.24","51.50","8,437.00","434,505.50","434,505.50","Financials","2627850","US6389041020","NASDAQ"
"MBI","MBIA INC","Equity","0.24","8.42","50,744.00","427,264.48","427,264.48","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.22","26.40","15,023.00","396,607.20","396,607.20","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.22","40.48","9,716.00","393,303.68","393,303.68","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.21","9.64","38,618.00","372,277.52","372,277.52","Financials","B1H4YP4","US0323593097","NASDAQ"
"USD","USD CASH","Cash","0.21","100.00","368,770.00","368,770.04","368,770.04","Cash and/or Derivatives","-","-","-"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.20","353.49","1,014.00","358,438.86","358,438.86","Financials","BYSPYB3","US6385171029","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.19","75.40","4,545.00","342,693.00","342,693.00","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"UFCS","UNITED FIRE GROUP INC","Equity","0.15","48.06","5,390.00","259,043.40","259,043.40","Financials","B4WXG84","US9103401082","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.09","15.06","11,130.00","167,617.80","167,617.80","Financials","B7ZKH46","US0231398845","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.06","1.00","108,311.00","108,310.51","108,310.51","Cash and/or Derivatives","-","US0669224778","-"
 
