iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"168,162,783.07"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.38","117.77","5,405.00","636,546.85","636,546.85","Financials","2311711","US29530P1021","NASDAQ"
"RLI","RLI CORP","Equity","0.37","55.54","11,205.00","622,325.70","622,325.70","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","0.36","56.00","10,710.00","599,760.00","599,760.00","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"KMPR","KEMPER CORP","Equity","0.33","38.15","14,358.00","547,757.70","547,757.70","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.33","61.90","8,833.00","546,762.70","546,762.70","Financials","2499543","BMG0464B1072","NASDAQ"
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.28","25.06","18,957.00","475,062.42","475,062.42","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.27","38.25","12,008.00","459,306.00","459,306.00","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.26","3.66","117,215.00","429,006.90","429,006.90","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.25","13.14","32,303.00","424,461.42","424,461.42","Financials","B1H4YP4","US0323593097","NASDAQ"
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.24","21.96","18,550.00","407,358.00","407,358.00","Financials","BJ35QL7","US6362203035","NASDAQ"
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.23","40.05","9,698.00","388,404.90","388,404.90","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.22","45.60","8,201.00","373,965.60","373,965.60","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"NAVG","NAVIGATORS GROUP INC","Equity","0.19","53.00","6,184.00","327,752.00","327,752.00","Financials","2627850","US6389041020","NASDAQ"
"MBI","MBIA INC","Equity","0.19","8.19","39,555.00","323,955.45","323,955.45","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.19","95.75","3,381.00","323,730.75","323,730.75","Financials","2313739","US45665Q1031","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.19","1.00","323,693.00","323,692.80","323,692.80","Cash and/or Derivatives","-","US0669224778","-"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.18","117.53","2,509.00","294,882.77","294,882.77","Financials","2028420","US0285911055","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.17","51.80","5,373.00","278,321.40","278,321.40","Financials","B0PPHS6","US03071H1005","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.15","24.65","10,285.00","253,525.25","253,525.25","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","43.25","5,390.00","233,117.50","233,117.50","Financials","B4WXG84","US9103401082","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.13","307.15","729.00","223,912.35","223,912.35","Financials","BYSPYB3","US6385171029","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.13","66.55","3,341.00","222,343.55","222,343.55","Financials","2958538","US78648T1007","NASDAQ"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.13","39.64","5,513.00","218,535.32","218,535.32","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.12","62.95","3,233.00","203,517.35","203,517.35","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.10","16.52","10,271.00","169,676.92","169,676.92","Financials","B7ZKH46","US0231398845","NASDAQ"
"OB","ONEBEACON INSURANCE GROUP LTD CLAS","Equity","0.09","18.35","7,957.00","146,010.95","146,010.95","Financials","B1GN3G6","BMG677421098","New York Stock Exchange Inc."
"USD","USD CASH","Cash","-0.01","100.00","-14,088.00","-14,088.15","-14,088.15","Cash and/or Derivatives","-","-","-"
 
