iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"177,657,998.90"
Shares Outstanding,"2,750,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.46","127.46","6,360.00","810,645.60","810,645.60","Financials","2311711","US29530P1021","NASDAQ"
"RLI","RLI CORP","Equity","0.43","58.06","13,275.00","770,746.50","770,746.50","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","0.40","59.89","11,998.00","718,560.22","718,560.22","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.36","59.95","10,648.00","638,347.60","638,347.60","Financials","2499543","BMG0464B1072","NASDAQ"
"KMPR","KEMPER CORP","Equity","0.35","39.25","16,043.00","629,687.75","629,687.75","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.35","16.00","39,024.00","624,384.00","624,384.00","Financials","B1H4YP4","US0323593097","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.30","36.90","14,648.00","540,511.20","540,511.20","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.30","26.78","19,692.00","527,351.76","527,351.76","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.29","43.35","11,882.00","515,084.70","515,084.70","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.29","51.95","9,858.00","512,123.10","512,123.10","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.27","21.21","22,818.00","483,969.78","483,969.78","Financials","BJ35QL7","US6362203035","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.24","57.00","7,600.00","433,200.00","433,200.00","Financials","2627850","US6389041020","NASDAQ"
"MBI","MBIA INC","Equity","0.24","10.17","42,227.00","429,448.59","429,448.59","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.24","100.05","4,245.00","424,712.25","424,712.25","Financials","2313739","US45665Q1031","NASDAQ"
"GNW","GENWORTH FINANCIAL A INC","Equity","0.24","3.43","123,407.00","423,286.01","423,286.01","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"AMSF","AMERISAFE INC","Equity","0.21","57.75","6,601.00","381,207.75","381,207.75","Financials","B0PPHS6","US03071H1005","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.21","119.00","3,155.00","375,445.00","375,445.00","Financials","2028420","US0285911055","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.20","1.00","349,825.00","349,825.19","349,825.19","Cash and/or Derivatives","-","US0669224778","-"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.20","40.16","8,698.00","349,311.68","349,311.68","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.17","23.85","13,031.00","310,789.35","310,789.35","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.16","67.90","4,228.00","287,081.20","287,081.20","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"SNC","STATE NATIONAL COMPANIES INC","Equity","0.15","20.88","13,062.00","272,734.56","272,734.56","Financials","BSHYJF8","US85711T3059","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.15","336.59","801.00","269,608.59","269,608.59","Financials","BYSPYB3","US6385171029","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","45.12","5,390.00","243,196.80","243,196.80","Financials","B4WXG84","US9103401082","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.13","70.95","3,341.00","237,043.95","237,043.95","Financials","2958538","US78648T1007","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.12","20.43","10,271.00","209,836.53","209,836.53","Financials","B7ZKH46","US0231398845","NASDAQ"
"OB","ONEBEACON INSURANCE GROUP LTD CLAS","Equity","0.09","18.32","8,429.00","154,419.28","154,419.28","Financials","B1GN3G6","BMG677421098","New York Stock Exchange Inc."
"USD","USD CASH","Cash","-0.08","100.00","-136,262.00","-136,262.45","-136,262.45","Cash and/or Derivatives","-","-","-"
 
