iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"132,305,377.16"
Shares Outstanding,"2,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"KMPR","KEMPER CORP","Equity","0.57","57.00","13,307.00","758,499.00","758,499.00","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"PRA","PROASSURANCE CORP","Equity","0.54","48.55","14,669.00","712,179.95","712,179.95","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.51","63.39","10,737.00","680,618.43","680,618.43","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.47","29.36","21,215.00","622,872.40","622,872.40","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.46","117.64","5,205.00","612,316.20","612,316.20","Financials","2311711","US29530P1021","NASDAQ"
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.43","57.40","9,828.00","564,127.20","564,127.20","Financials","2499543","BMG0464B1072","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.38","42.75","11,846.00","506,416.50","506,416.50","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"MCY","MERCURY GENERAL CORP","Equity","0.37","45.87","10,630.00","487,598.10","487,598.10","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.33","24.31","17,973.00","436,923.63","436,923.63","Financials","BJ35QL7","US6362203035","NASDAQ"
"GNW","GENWORTH FINANCIAL A INC","Equity","0.32","2.83","147,359.00","417,025.97","417,025.97","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.31","49.35","8,178.00","403,584.30","403,584.30","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.30","40.45","9,824.00","397,380.80","397,380.80","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.30","118.40","3,325.00","393,680.00","393,680.00","Financials","2313739","US45665Q1031","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.30","57.65","6,775.00","390,578.75","390,578.75","Financials","2627850","US6389041020","NASDAQ"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.27","76.85","4,663.00","358,351.55","358,351.55","Financials","2958538","US78648T1007","NASDAQ"
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.27","12.31","28,635.00","352,496.85","352,496.85","Financials","B1H4YP4","US0323593097","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.25","55.25","5,934.00","327,853.50","327,853.50","Financials","B0PPHS6","US03071H1005","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.24","31.90","10,069.00","321,201.10","321,201.10","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.24","116.96","2,687.00","314,271.52","314,271.52","Financials","2028420","US0285911055","NASDAQ"
"KNSL","KINSALE CAPITAL GROUP INC","Equity","0.24","51.33","6,088.00","312,497.04","312,497.04","Financials","BD1MGQ3","US49714P1084","NASDAQ"
"MBI","MBIA INC","Equity","0.21","9.26","29,610.00","274,188.60","274,188.60","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.21","35.47","7,664.00","271,842.08","271,842.08","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.19","47.86","5,390.00","257,965.40","257,965.40","Financials","B4WXG84","US9103401082","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.18","69.35","3,410.00","236,483.50","236,483.50","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.18","304.88","775.00","236,282.00","236,282.00","Financials","BYSPYB3","US6385171029","NASDAQ"
"TRUP","TRUPANION INC","Equity","0.16","29.89","6,898.00","206,181.22","206,181.22","Financials","BP3YM85","US8982021060","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.13","15.68","11,130.00","174,518.40","174,518.40","Financials","B7ZKH46","US0231398845","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.06","1.00","73,502.00","73,501.83","73,501.83","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","0.04","100.00","56,829.00","56,829.38","56,829.38","Cash and/or Derivatives","-","-","-"
 
