iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"176,451,205.95"
Shares Outstanding,"2,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"PRA","PROASSURANCE CORP","Equity","0.58","57.15","17,969.00","1,026,928.35","1,026,928.35","Financials","2612737","US74267C1062","New York Stock Exchange Inc."
"CNO","CNO FINANCIAL GROUP INC","Equity","0.57","24.69","40,455.00","998,833.95","998,833.95","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.47","60.66","13,651.00","828,069.66","828,069.66","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.47","121.84","6,796.00","828,024.64","828,024.64","Financials","2311711","US29530P1021","NASDAQ"
"MCY","MERCURY GENERAL CORP","Equity","0.41","53.44","13,541.00","723,631.04","723,631.04","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.38","61.65","10,741.00","662,182.65","662,182.65","Financials","2499543","BMG0464B1072","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.37","44.10","14,682.00","647,476.20","647,476.20","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.35","30.73","20,260.00","622,589.80","622,589.80","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"GNW","GENWORTH FINANCIAL A INC","Equity","0.33","3.11","187,447.00","582,960.17","582,960.17","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.30","53.05","10,076.00","534,531.80","534,531.80","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.30","44.40","11,961.00","531,068.40","531,068.40","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.28","80.40","6,165.00","495,666.00","495,666.00","Financials","2958538","US78648T1007","NASDAQ"
"AMSF","AMERISAFE INC","Equity","0.26","61.60","7,542.00","464,587.20","464,587.20","Financials","B0PPHS6","US03071H1005","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.26","106.00","4,273.00","452,938.00","452,938.00","Financials","2313739","US45665Q1031","NASDAQ"
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.26","19.64","23,020.00","452,112.80","452,112.80","Financials","BJ35QL7","US6362203035","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.24","128.25","3,332.00","427,329.00","427,329.00","Financials","2028420","US0285911055","NASDAQ"
"NAVG","NAVIGATORS GROUP INC","Equity","0.23","48.70","8,480.00","412,976.00","412,976.00","Financials","2627850","US6389041020","NASDAQ"
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.22","10.07","38,618.00","388,883.26","388,883.26","Financials","B1H4YP4","US0323593097","NASDAQ"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.22","40.01","9,716.00","388,737.16","388,737.16","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"KNSL","KINSALE CAPITAL GROUP INC","Equity","0.20","45.00","7,811.00","351,495.00","351,495.00","Financials","BD1MGQ3","US49714P1084","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.20","27.35","12,826.00","350,791.10","350,791.10","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.20","1.00","347,971.00","347,971.04","347,971.04","Cash and/or Derivatives","-","US0669224778","-"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.19","331.02","1,014.00","335,654.28","335,654.28","Financials","BYSPYB3","US6385171029","NASDAQ"
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.18","69.65","4,545.00","316,559.25","316,559.25","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"MBI","MBIA INC","Equity","0.15","7.32","37,318.00","273,167.76","273,167.76","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","45.58","5,390.00","245,676.20","245,676.20","Financials","B4WXG84","US9103401082","NASDAQ"
"TRUP","TRUPANION INC","Equity","0.14","29.27","8,389.00","245,546.03","245,546.03","Financials","BP3YM85","US8982021060","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.10","15.98","11,130.00","177,857.40","177,857.40","Financials","B7ZKH46","US0231398845","NASDAQ"
"USD","USD CASH","Cash","-0.04","100.00","-76,802.00","-76,802.07","-76,802.07","Cash and/or Derivatives","-","-","-"
 
