iShares U.S. Insurance ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"172,122,661.95"
Shares Outstanding,"2,700,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"CNO","CNO FINANCIAL GROUP INC","Equity","0.55","23.34","40,455.00","944,219.70","944,219.70","Financials","2657750","US12621E1038","New York Stock Exchange Inc."
"KMPR","KEMPER CORP","Equity","0.53","53.00","17,349.00","919,497.00","919,497.00","Financials","B52KRV2","US4884011002","New York Stock Exchange Inc."
"RLI","RLI CORP","Equity","0.49","57.36","14,678.00","841,930.08","841,930.08","Financials","2719070","US7496071074","New York Stock Exchange Inc."
"ERIE","ERIE INDEMNITY CLASS A","Equity","0.49","120.57","6,924.00","834,826.68","834,826.68","Financials","2311711","US29530P1021","NASDAQ"
"MCY","MERCURY GENERAL CORP","Equity","0.45","56.69","13,796.00","782,095.24","782,095.24","Financials","2578464","US5894001008","New York Stock Exchange Inc."
"AGII","ARGO GROUP INTERNATIONAL HOLDINGS","Equity","0.42","61.50","11,674.00","717,951.00","717,951.00","Financials","2499543","BMG0464B1072","NASDAQ"
"HMN","HORACE MANN EDUCATORS CORP","Equity","0.37","39.35","16,333.00","642,703.55","642,703.55","Financials","2437112","US4403271046","New York Stock Exchange Inc."
"EIG","EMPLOYERS HOLDINGS INC","Equity","0.35","45.45","13,253.00","602,348.85","602,348.85","Financials","B1Q1RR9","US2922181043","New York Stock Exchange Inc."
"AEL","AMERICAN EQUITY INVESTMENT LIFE HO","Equity","0.33","29.08","19,692.00","572,643.36","572,643.36","Financials","2191300","US0256762065","New York Stock Exchange Inc."
"CNA","CNA FINANCIAL CORP","Equity","0.32","50.25","11,093.00","557,423.25","557,423.25","Financials","2204866","US1261171003","New York Stock Exchange Inc."
"AFSI","AMTRUST FINANCIAL SERVICES INC","Equity","0.31","13.46","39,347.00","529,610.62","529,610.62","Financials","B1H4YP4","US0323593097","NASDAQ"
"GNW","GENWORTH FINANCIAL A INC","Equity","0.30","3.85","134,134.00","516,415.90","516,415.90","Financials","B011WL6","US37247D1063","New York Stock Exchange Inc."
"NAVG","NAVIGATORS GROUP INC","Equity","0.29","58.35","8,596.00","501,576.60","501,576.60","Financials","2627850","US6389041020","NASDAQ"
"NGHC","NATIONAL GENERAL HOLDINGS CORP","Equity","0.29","19.11","25,936.00","495,636.96","495,636.96","Financials","BJ35QL7","US6362203035","NASDAQ"
"MBI","MBIA INC","Equity","0.26","8.70","51,701.00","449,798.70","449,798.70","Financials","2547044","US55262C1009","New York Stock Exchange Inc."
"AMSF","AMERISAFE INC","Equity","0.26","58.20","7,542.00","438,944.40","438,944.40","Financials","B0PPHS6","US03071H1005","NASDAQ"
"ANAT","AMERICAN NATIONAL INSURANCE","Equity","0.25","118.08","3,714.00","438,549.12","438,549.12","Financials","2028420","US0285911055","NASDAQ"
"IPCC","INFINITY PROPERTY AND CASUALTY COR","Equity","0.24","94.20","4,354.00","410,146.80","410,146.80","Financials","2313739","US45665Q1031","NASDAQ"
"JRVR","JAMES RIVER GROUP HOLDINGS LTD","Equity","0.24","41.48","9,752.00","404,512.96","404,512.96","Financials","BT8RWQ5","BMG5005R1079","NASDAQ"
"NWLI","NATIONAL WESTERN LIFE GROUP INC CL","Equity","0.21","349.00","1,033.00","360,517.00","360,517.00","Financials","BYSPYB3","US6385171029","NASDAQ"
"UVE","UNIVERSAL INSURANCE HOLDINGS INC","Equity","0.20","23.00","15,306.00","352,038.00","352,038.00","Financials","2912374","US91359V1070","New York Stock Exchange Inc."
"FFG","FBL FINANCIAL GROUP INC CLASS A","Equity","0.20","74.50","4,631.00","345,009.50","345,009.50","Financials","2329082","US30239F1066","New York Stock Exchange Inc."
"SNC","STATE NATIONAL COMPANIES INC","Equity","0.17","20.99","13,937.00","292,537.63","292,537.63","Financials","BSHYJF8","US85711T3059","NASDAQ"
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.16","1.00","269,054.00","269,054.14","269,054.14","Cash and/or Derivatives","-","US0669224778","-"
"SAFT","SAFETY INSURANCE GROUP INC","Equity","0.15","76.30","3,445.00","262,853.50","262,853.50","Financials","2958538","US78648T1007","NASDAQ"
"UFCS","UNITED FIRE GROUP INC","Equity","0.14","45.82","5,390.00","246,969.80","246,969.80","Financials","B4WXG84","US9103401082","NASDAQ"
"AMBC","AMBAC FINANCIAL GROUP INC","Equity","0.10","17.26","10,271.00","177,277.46","177,277.46","Financials","B7ZKH46","US0231398845","NASDAQ"
"USD","USD CASH","Cash","0.06","100.00","106,931.00","106,931.04","106,931.04","Cash and/or Derivatives","-","-","-"
 
